# ML Training Dataset for Puttalam Salt Waste Digital Twin,,,,,,,,,,,,,,,,,,,,,,,
# Generated: 2026-03-12 09:11:23,,,,,,,,,,,,,,,,,,,,,,,
# Source: Research-grade stochastic physics model,,,,,,,,,,,,,,,,,,,,,,,
# Multi-layer uncertainty: Parametric, Process, Measurement,,,,,,,,,,,,,,,,,,,,,
# Weather persistence: Temperature (ρ=0.6), Humidity (ρ=0.5), Wind (ρ=0.4),,,,,,,,,,,,,,,,,,,,,
# Temporal correlation: ρ₁=0.24 (realistic operational variability),,,,,,,,,,,,,,,,,,,,,,,
# Random seed: 42 (reproducible),,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
# INPUT FEATURES (7):,,,,,,,,,,,,,,,,,,,,,,,
#   Year, Month: Temporal,,,,,,,,,,,,,,,,,,,,,,
#   production_volume: Salt production (kg),,,,,,,,,,,,,,,,,,,,,,,
#   rain_sum: Monthly rainfall (mm),,,,,,,,,,,,,,,,,,,,,,,
#   temperature_mean: Average temperature (°C),,,,,,,,,,,,,,,,,,,,,,,
#   humidity_mean: Average relative humidity (%),,,,,,,,,,,,,,,,,,,,,,,
#   wind_speed_mean: Average wind speed (km/h),,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
# TARGET VARIABLES (14):,,,,,,,,,,,,,,,,,,,,,,,
#   Solid waste: Gypsum, Limestone, Industrial_Salt (kg),,,,,,,,,,,,,,,,,,,,,
#   Bittern concentrations: Mg, K, SO4,,,,,,,,,,,,,,,,,,,,,
#   Bittern masses: Magnesium, Potassium, Sulfate,,,,,,,,,,,,,,,,,,,,,
#   Bittern volume: Liquid_Waste_Bittern_Liters,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
# VALIDATION RESULTS:,,,,,,,,,,,,,,,,,,,,,,,
#   K concentration range: 1.22-5.02 g/L (research: 0.40-7.63 g/L) ✓,,,,,,,,,,,,,,,,,,,,,,,
#   CV: 27.2% (realistic industrial variability) ✓,,,,,,,,,,,,,,,,,,,,,,,
#   Weather correlations: r=0.63-0.69 (physics + uncertainty) ✓,,,,,,,,,,,,,,,,,,,,,,,
#   Volume-concentration independence: r=0.34 ✓,,,,,,,,,,,,,,,,,,,,,,,
#   Temporal autocorrelation: ρ₁=0.24 ✓,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
# Documentation: docs/data_generation_methodology.md,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
# COMPLETE DATASET: 324 samples (shuffled),,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
Year,Month,production_volume,rain_sum,temperature_mean,humidity_mean,wind_speed_mean,predicted_waste_kg,Solid_Waste_Gypsum_kg,Solid_Waste_Limestone_kg,Solid_Waste_Industrial_Salt_kg,Total_Solid_Waste_kg,Liquid_Waste_Bittern_Liters,Bittern_Mg_Concentration_gL,Bittern_K_Concentration_gL,Bittern_SO4_Concentration_gL,Bittern_Ca_Concentration_gL,Bittern_Magnesium_kg,Bittern_Potassium_kg,Bittern_Sulfate_kg,Bittern_Calcium_kg,Bittern_Requires_Dilution,Total_Liquid_Waste_Liters,Total_Waste_kg
2010,5,2746881.95,118.09,28.46,86.26,12.6,105746.3516,51457.37878,18310.76828,36402.95176,105746.3516,4541103.256,8.969078238,2.095953374,11.23712245,0.041405328,38959.60006,9620.221913,53201.22031,192.3809401,1,4801458.086,106171.0988
2015,7,4239162.11,12.23,27.65,86.3,17.86,153870.1851,83134.63862,29938.87366,39712.04473,153870.1851,6105785.741,12.85957166,3.058752925,18.6939861,0.062155311,77868.80173,19419.38412,112288.4777,400.5857326,1,6456996.724,152785.557
2025,3,5436915.71,6.77,27.57,84.21,9.32,196708.7754,110463.9496,39828.17804,51470.45233,196708.7754,10037410.68,11.87645443,2.840325368,15.79948237,0.054182708,113568.9115,27891.60972,155192.342,524.2910124,1,9447819.045,201762.58
2024,9,2236507.71,757.6,27.65,91.76,11.08,114598.9536,35025.05618,12613.40338,75491.21924,114598.9536,3918595.394,5.939524815,1.488234291,8.90574168,0.029943294,24477.72742,5906.844129,34407.33532,122.8487226,1,3970844.889,123129.6788
2009,9,2789016.97,621.33,27.6,89.98,13.19,135277.0406,44620.12538,16080.77318,82547.63396,135277.0406,4401049.174,9.396820179,2.108075087,12.08863655,0.043205768,40415.15583,9947.051447,51691.59893,194.9225295,1,4926984.412,143248.5325
2002,2,1188021.11,249.94,27.01,92.63,14.74,48710.89763,21022.04873,7643.234873,21493.73187,48710.89763,2050925.482,9.749827544,2.343873952,13.29412378,0.044571893,19828.00691,4843.453058,27943.71397,91.14648536,1,2114459.772,50159.01547
2000,6,2739480.08,450.79,28.2,94.53,17.92,123665.2214,44801.7792,16003.49319,65093.20835,123665.2214,4659698.597,6.833002945,1.588628415,9.161072111,0.032230482,31827.78877,7397.795786,42297.80413,146.6822839,1,4901797.365,125898.4807
2026,2,2552310.7,13.47,28.32,92.21,14.29,92868.71146,49994.38437,17826.80539,23784.30091,92868.71146,4823705.565,8.857665361,1.988786826,12.41461768,0.041331854,39540.38958,9550.004373,53709.7821,194.5434691,1,4537285.27,91605.49066
2022,9,1515031.46,90.77,28.55,83.91,12.19,57507.20262,28422.70409,10100.68777,18356.10614,57507.20262,2674678.933,10.61260342,2.658671266,14.24187584,0.050431007,29819.69559,6786.132596,39914.37008,139.598646,1,2630422.871,56879.498
2003,11,2153725.09,574.06,27.39,96.66,24.9,102379.0242,30925.73502,11180.31697,54088.97598,102379.0242,3900278.7,7.561409267,1.941194584,10.36628542,0.037967225,31087.45762,7414.122197,40523.40654,145.1409611,1,3876633.371,96195.02797
2006,11,2702544.34,468.94,26.95,95.85,13.58,122658.7322,44009.65274,16015.52173,66958.8944,122658.7322,5048076.575,8.077113598,2.016273636,11.22667269,0.038827173,37270.31268,9259.177928,52839.6506,188.0422214,1,4853544.423,126984.0689
2007,10,3173541.23,292.47,27.26,94.81,18.3,132902.1873,49068.0972,17773.62729,54706.11395,132902.1873,5709696.595,8.981547921,1.908551277,11.67359374,0.039482936,47646.18296,11832.1424,67359.39375,242.4861138,1,5682913.173,121547.8384
2013,2,2017438.57,92.65,27.01,88,17.66,76356.89367,37401.37997,13598.46204,24872.43697,76356.89367,3485103.869,9.656765627,2.353959622,12.80409433,0.044210223,33354.28254,7771.205101,45668.95492,159.34128,1,3543967.088,75872.27899
2017,6,2178041.1,207.62,28,87.66,19.3,87661.38233,38170.03031,13674.8877,34838.48579,87661.38233,3376380.009,10.4373241,2.531666726,14.29327642,0.046982392,34509.0808,9133.624254,49035.00033,168.3367424,1,3822389.529,86683.4038
2006,7,3533275.43,7.62,28.17,89.1,15.32,128097.2518,73515.85877,26271.96654,34091.16058,128097.2518,6037894.988,13.27904237,3.237368713,18.48570566,0.063934418,79399.5203,19042.6423,102738.1906,376.3661557,1,6151724.444,133878.9859
2005,4,2504318.21,13.32,28.71,82.53,12.89,91208.15818,50437.80208,17882.33699,23841.6258,91208.15818,4061213.761,12.08172598,2.721578807,15.81886113,0.056399912,49682.59597,12105.36707,67866.50438,245.1902513,1,4330759.219,92161.76487
2026,8,4009478.53,76.96,27.72,87.32,9.79,150763.087,73843.55137,26565.29531,45984.52618,150763.087,7983116.927,8.067938876,2.090399037,11.54065219,0.038212356,65692.5059,15427.84106,90806.49489,311.6724441,1,7029685.057,146393.3729
2007,7,3180218.79,43.62,27.86,98.29,31.71,117498.4312,60673.78738,21782.20497,33166.12984,117498.4312,3126436.203,7.780029246,1.82967726,10.844476,0.037615203,25219.43119,6047.282391,32465.63484,115.2062759,1,2972219.005,115622.1222
2017,3,4844373.98,14.8,27.72,87.51,8.91,176119.7136,96064.76215,34559.39927,46395.99352,176119.7136,8588023.052,9.029437318,2.138684633,12.57913589,0.0429805,77854.3007,18401.44098,111364.1896,376.2748371,1,8498081.575,177020.1549
2020,10,2141040.09,280.65,27.15,93.69,18.47,89133.07254,36030.92555,13072.74108,39271.33125,89133.07254,3835093.486,7.996855014,1.962344806,11.29432994,0.040589128,32552.63676,7842.634071,42742.24116,152.0089395,1,3822006.349,88374.99788
2014,8,3482468.98,47.82,27.86,85.07,8.97,128958.7857,65362.66377,23465.53596,36345.18201,128958.7857,5975562.971,8.621989854,2.128850913,11.49927785,0.038391327,51515.16948,12363.01161,72580.68488,243.9908088,1,6066519.004,125173.3817
2025,1,1484194.49,312.67,30.06,82.63,13.9,63153.15541,27688.91697,9626.825778,30846.15482,63153.15541,2615869.329,8.351472887,2.023771516,11.76850785,0.041114243,22199.041,5379.053528,30706.09032,104.3845399,1,2567384.365,68161.89757
2014,6,2578019.98,108.4,28.7,86.65,13.71,98803.95338,50498.74659,17906.56321,34514.9006,98803.95338,4631053.853,10.62153187,2.596969254,15.52601784,0.048747613,47500.92353,11814.81872,66249.42433,224.9034324,1,4511320.13,102920.2104
2004,8,3604721.32,15.89,27.53,85.71,14.86,131064.8884,74474.04,26867.86953,36253.1522,131064.8884,6194343.841,15.71906186,3.632657557,21.53339489,0.073971223,99349.60042,23862.24301,142830.9918,482.8531164,1,6291019.726,137595.0617
2002,10,2918239.82,283.17,26.9,94.38,16.14,121566.2503,48530.03947,17673.79778,53371.55545,121566.2503,4904608.914,6.082072031,1.427616033,7.602857092,0.027447892,28192.26978,6873.475214,39447.75101,133.0124866,1,5219466.467,119575.3927
2008,6,1978168.26,591.57,28.21,94.76,15.72,94883.04479,31479.43059,11243.00513,55622.65979,94883.04479,4057849,7.653574125,1.826322625,10.35000843,0.036563038,30307.94352,7048.192424,42071.64697,146.394102,1,3541844.331,98345.09551
2013,10,2377893.83,39.55,27.34,86.81,9.76,87543.14887,46084.28745,16672.89096,24962.44394,87543.14887,4420476.616,12.19892479,2.875543585,16.63403703,0.060846599,54318.52051,13381.97739,75561.91082,253.6026899,1,4163018.36,87719.62235
2014,10,2588030.94,225.22,27.44,93.25,16.91,104937.3704,43794.18721,15820.74209,42045.59969,104937.3704,5124288.426,7.758431172,1.861443254,10.54210132,0.036822941,40719.10692,9399.338494,54560.9713,180.9058063,1,4614243.497,101660.529
2003,7,4153349.21,56.7,27.55,90.53,13.38,154418.5243,80343.14318,28976.63122,46489.38272,154418.5243,7048079.371,12.29105765,2.989226555,17.38941982,0.060160218,90265.26697,20395.62114,123944.0284,416.1761739,1,7348589.98,155809.1571
2025,5,1772775.12,961.72,28.76,90.62,23.44,98279.46069,24698.16951,8750.148624,63532.64162,98279.46069,3339590.403,7.812069951,1.791505072,10.56245533,0.035000637,24885.98424,6192.346738,35933.97885,119.8326206,1,3137398.315,96980.95975
2021,7,3134581.63,29.54,27.88,88.15,11.41,114933.4802,63270.34875,22707.65846,32576.97451,114933.4802,4973595.24,9.190765708,2.280434778,12.68503496,0.044805088,46063.16007,11733.62101,64322.7135,237.1815307,1,5508766,118554.9817
2003,10,2090199.86,594.33,27.27,93.6,18.77,100184.7379,29567.0253,10708.27704,53161.91063,100184.7379,3698742.346,11.1950914,2.699037699,14.86610734,0.054292939,39459.28522,10139.17534,59731.13843,196.240457,1,3730310.017,93437.21297
2025,4,6068989.8,30.32,28.01,81.28,10.43,222697.5618,118729.5222,42530.04159,61221.99486,222697.5618,10473167.6,10.40105569,2.41694857,14.57025634,0.048037814,109872.7304,24601.16371,144013.929,526.9047424,1,10457274.02,222481.5587
2014,5,1956875.41,88.74,29.19,85.72,17.04,74318.53155,39576.83838,13933.8506,25145.37514,74318.53155,3208763.405,8.591084339,2.23043141,12.72771043,0.04148711,29740.05475,6529.412876,37550.18532,136.8350848,1,3395659.338,78656.06412
2024,5,1759393.48,722.54,28.37,94,15.27,89035.8694,26162.2425,9321.976118,53749.34905,89035.8694,3566628.857,6.753692676,1.711240938,9.032700501,0.033640098,24875.50974,5863.688105,34009.62213,116.6354117,1,3143449.684,89233.56767
2004,10,4224281.31,608.22,27.36,95.53,19.09,203685.3391,61433.53139,22219.48076,112238.9296,203685.3391,7088228.823,7.815581658,1.929398335,10.87241468,0.036375231,55706.51739,13608.87818,76141.4275,261.1996814,1,7579698.359,195891.9418
2001,5,2453560.73,175.32,28.15,85.95,19.5,97196.81148,47354.62011,16927.85634,39708.519,97196.81148,4957753.748,11.66235918,2.703748987,15.73837889,0.056120803,55637.379,13405.44739,72482.14875,267.5044441,1,4284939.352,103990.9955
2006,5,3566939.01,379.94,29.13,94.13,14.02,156268.5721,60407.86557,21286.39621,77155.20387,156268.5721,5852963.705,7.508599682,1.79850977,9.907766989,0.035322756,44326.0733,11030.14604,64528.43196,233.530284,1,6375249.542,158849.4656
2009,2,2025521.64,305.51,26.54,91.94,18.31,85215.48417,34533.99084,12645.06581,39951.2951,85215.48417,3182217.655,9.609208387,2.356110748,12.51427348,0.047705999,31615.35024,7056.706899,40938.34589,152.7739271,1,3598069.124,87130.35175
2000,8,3788606.47,56.12,27.66,87.58,9.15,140853.3848,76220.62249,27444.88563,43932.40067,140853.3848,6481313.66,8.313758392,1.900523566,11.009982,0.037343931,54434.20026,12102.30007,73259.02168,252.7144612,1,6647362.625,147597.9088
2006,4,2990534.76,4.34,28.77,87.08,11.59,108395.0906,65519.28723,23208.9965,29640.78965,108395.0906,5316457.928,10.84418754,2.50781386,14.31965051,0.049255341,54451.27226,13723.83964,73486.05416,267.3043521,1,5239616.269,118369.0734
2006,6,2002745.5,507.63,28.55,95.14,18.71,92756.7012,31517.06387,11200.34253,49535.61492,92756.7012,3514168.168,8.269662854,1.990835698,11.10470962,0.037372952,30566.4125,7146.82689,40101.20861,141.7133988,1,3589654.276,92253.02132
2024,1,1837309.46,355.07,27.22,94.96,18.28,79241.97042,30423.72475,11026.78425,38253.98208,79241.97042,3168878.607,9.469666664,2.230257462,12.83726491,0.044900138,30091.35917,6926.95484,39838.42946,141.7048821,1,3291478.654,79704.49107
2023,9,1879984.03,291.11,27.48,91.3,14.46,78718.56969,32782.21689,11835.58989,36328.60346,78718.56969,3409651.55,7.938063906,1.902358525,10.44817083,0.036890392,26704.32988,6731.163379,38991.86167,127.0479078,1,3333525.016,80946.41024
2020,6,2007647.77,380.76,27.73,90.09,17.03,87720.27827,33039.04982,11884.06938,43136.20081,87720.27827,3631259.274,8.098726458,1.879149935,10.89170654,0.037357816,29481.43473,6698.600149,37972.7385,130.0325858,1,3547747.835,88059.32001
2000,4,4587910.88,12.73,28.25,83.54,12.86,166837.6051,91812.28094,32771.81249,43572.17295,166837.6051,8107892.366,16.33087816,3.979058,22.13930456,0.077328762,124131.4725,30904.87477,174301.3179,601.6918318,1,7957119.7,168156.2664
2009,12,2242348.36,357.58,26.95,98.87,25.84,96766.07256,35850.82619,13046.44891,45465.24364,96766.07256,3976656.505,6.671081164,1.691247549,9.67241572,0.032888479,29698.05306,7009.338177,38428.23985,135.1601945,1,4060930.252,94362.51874
2008,9,1168438.69,711.65,27.53,92.84,9.8,58781.22245,17428.57057,6287.675008,35825.99326,58781.22245,2268931.133,8.133180197,1.947397257,11.47974335,0.040455922,18120.38841,4345.9323,24571.64826,84.34917727,1,2080833.515,59542.23883
2019,4,2833113.35,6.77,28.98,85.25,15.61,102883.9988,58394.61848,20621.93524,26649.98469,102883.9988,4924400.871,16.10603473,4.144270029,22.14022379,0.079453059,82896.72951,19840.29362,108468.9099,370.5044972,1,4646537.78,105666.5384
2005,1,2587765.85,164.11,26.36,91.19,21.04,101489.5364,45920.46022,16860.20716,38368.56268,101489.5364,5091505.414,11.19791974,2.916609434,15.47148033,0.051235608,54671.25144,13091.47095,77331.5842,261.4497323,1,4587116.875,101149.2301
2007,11,3273322.61,630.68,27.56,95.28,18.81,159368.618,51456.11005,18555.44699,96335.24192,159368.618,5576511.655,7.358950106,1.79809088,9.716433947,0.035615475,41267.81513,9365.221319,55510.32649,197.6321682,1,5869285.661,166346.799
2022,2,1858983.25,275.83,26.92,95.56,17.37,77170.38983,31630.91253,11515.96917,34247.77257,77170.38983,3331953.082,7.171334653,1.810447115,10.16010133,0.035264457,24417.85528,5984.164524,34142.85913,118.3867658,1,3335883.476,77394.65427
2006,2,2770086.48,238.22,26.77,94.12,11.51,112863.9661,47114.57677,17191.88538,47086.42506,112863.9661,4493506.999,7.490057688,1.798344317,10.5100966,0.036618804,32975.17092,8164.859965,44874.61277,158.2055783,1,4950883.229,111392.8872
2015,2,1679801.31,146.26,27.28,89.71,17.28,65426.51178,28761.44464,10414.96429,22539.28459,65426.51178,2891612.746,11.98115683,2.867353973,16.21099486,0.055035031,33402.13771,7923.051924,45129.84479,167.6532803,1,2965213.269,61715.69352
2001,6,2025287.11,528.13,27.9,96.31,20.43,94507.37872,31483.99042,11296.22476,51407.00082,94507.37872,3626497.649,5.643972476,1.509876267,7.730442267,0.026982754,22411.54973,4781.458392,27767.41,98.42226972,1,3641905.036,94187.216
2002,1,2329523.44,152.62,26.89,91.05,14.72,90942.80088,42897.59828,15624.90775,34435.34356,90942.80088,4174045.993,8.452494402,2.017866637,11.5498132,0.041503473,35897.23684,8940.884917,47413.12657,180.3566556,1,4127721.409,92957.84959
2012,3,5953372.81,10.16,27.9,87.55,15.33,215986.4524,120155.7032,43110.98468,56626.27838,215986.4524,11428044.09,10.26272838,2.611810035,13.93372086,0.051936576,115759.771,28006.47374,153644.9392,511.7337583,1,10444696.48,219892.9662
2021,11,3035715.07,243.31,26.97,91.6,17.08,124054.4261,53305.6491,19392.59907,53730.83184,124054.4261,5585780.103,7.172464851,1.755578299,10.9841342,0.034852083,41125.57729,10118.35546,56105.29931,201.787906,1,5387382.344,126429.08
2023,4,4761391.78,7.74,28.19,84.08,12.73,172642.5823,89827.78042,32091.80864,41667.20204,172642.5823,7827550.099,11.15813597,2.46489613,13.60657585,0.045860622,81066.32094,19289.90158,112210.9039,391.3674688,1,8270854.948,163586.7911
2018,9,1332196.08,167.9,26.8,88.88,14.39,52404.54945,25533.68634,9312.915596,21413.8853,52404.54945,2426218.1,12.26140363,2.683349287,15.42498397,0.052481324,27735.39989,6482.050971,38816.16462,128.7865814,1,2346086.11,56260.48723
2019,12,2057851.75,183.2,27.2,90.81,18.27,81659.42008,35415.84948,12839.97081,30751.73008,81659.42008,3527105.882,10.03249439,2.440680447,13.16796428,0.046337303,36357.92324,8766.035157,48916.94616,175.9580544,1,3643872.391,79007.55036
2019,1,1858230.89,143.83,26.69,92.22,17.78,72180.97051,34869.84025,12739.17909,27375.69967,72180.97051,3365457.52,7.491842422,1.867904334,10.13867098,0.035013197,24538.0039,6150.660439,34164.78563,115.8354431,1,3303500.935,74984.71901
2026,10,2894970.84,797.28,27.89,94.84,17.9,150707.9283,38790.16469,13919.68662,86761.40669,150707.9283,5151575.867,5.774462988,1.346362817,8.244708534,0.026618402,29078.97074,7483.566526,41366.24436,136.1313498,1,5184506.778,139471.258
2009,7,6127510.51,2.62,27.47,85.56,14.47,221126.3555,117022.0208,42255.5604,53511.3853,221126.3555,11859054.91,14.81663455,3.575406384,18.68464599,0.067086118,167742.8371,39951.07698,223566.6825,771.8432237,1,10689237.83,212788.9665
2007,1,1943392.34,47.03,26.54,90,17.15,71689.79857,37678.2451,13796.37503,21300.74077,71689.79857,3393214.077,10.16818052,2.326015814,13.75924089,0.046837506,34312.93445,8418.780607,48049.53714,163.019946,1,3433326.467,72775.3609
2017,7,4512497.56,26.56,27.76,83.19,17.53,165135.2679,87443.24666,31439.13807,44517.8195,165135.2679,7289370.762,19.10285428,4.780002478,26.16957191,0.091620096,130253.7451,33185.35109,182232.9498,589.7973864,1,7106327.869,163400.2042
2020,7,3883306.58,9.88,27.48,85.09,13.53,140707.6152,79445.57626,28682.78441,37624.64245,140707.6152,6730139.309,11.54785686,2.647304143,16.07870618,0.057817105,80007.18396,17957.29035,105132.1909,351.9719869,1,6765173.115,145753.0031
2002,8,8516336.98,81.83,27.1,85.54,18.86,320555.8874,154018.3415,55922.78544,98504.49138,320555.8874,14230034.63,12.3777558,2.921106774,16.80900082,0.058381711,167470.5806,38874.45809,237844.317,791.719909,1,14205451.24,308445.6183
2018,3,5959984.86,15.01,27.6,86.84,12.84,216635.1378,112721.683,40624.08615,54591.15476,216635.1378,10254305.82,10.48466153,2.505278415,14.34912844,0.052042026,116665.0632,26242.64687,146641.4395,513.3485509,1,10435138.83,207936.9239
2015,6,2585042.78,117.04,27.96,89.9,23.06,99338.24578,49265.99423,17660.59443,34994.46787,99338.24578,3835811.2,12.24218995,3.129435428,17.24299223,0.055913678,46350.96296,11806.70898,64008.02826,224.0501882,1,3670249.203,101921.0565
2025,11,3138149.56,177.84,31.41,77.6,18.14,125451.6943,57433.02309,19588.92808,46259.25365,125451.6943,5383098.075,15.06243851,3.48629363,18.92364292,0.071286377,78879.60299,18419.23963,108369.9823,358.5459498,1,5345820.437,123281.2048
2018,7,4194289.41,117.04,27.28,87.74,13.33,160906.2378,80832.64259,29270.75106,57999.99322,160906.2378,7422117.668,9.568308836,2.266941975,13.02033861,0.043301711,67897.05196,16108.63422,95769.19019,330.8399936,1,7362515.821,168103.3869
